smiles	Hansch pi	Hammett sigma p
[R]C(C)(C)CC(O)=O	1.084	-0.055
[R]OCc1cncs1	0.342	-0.185
[R]NC(=O)c2cc1ccncc1o2	-0.596	-0.171
[R]C(=O)NC1CCN(C(C)C)CC1	0.105	0.36
[R]C(=O)OCc1cc(Cl)cc(Cl)c1	2.836	0.549
[R]OC(=O)C1CCCC1	1.218	-0.088
[R]N=C(N)c1cccs1	0.644	-0.198
[R]N(C)CCCN(C)C	0.063	-0.655
[R]C1NC(=O)NC1=O	-1.132	0.209
[R]Cc1ccc(C(F)(F)F)c(F)c1	3.396	0.029
[R]C(=O)OCc1ccccn1	0.638	0.553
[R]NCc1cccc(OC)c1OC	0.942	-0.636
[R]C(=O)N2CC1CCCN1CC2C	0.23	0.355
[R]NC1=NS(=O)(=O)c2ccccc12	1.266	-0.126
[R]CNC(=O)c1ccc(Cl)c(Cl)c1	2.186	0.154
[R]Nc1ccc(OS(N)(=O)=O)cc1	0.616	-0.226
[R]c1ccnc2ccc(OC)cc12	1.814	0.108
[R]c1nc(C(C)(C)C)cs1	2.629	0.152
[R]SCC(=O)Nc1cccc(C)c1	1.403	0.019
[R]c2nc(c1cccc(Cl)c1)no2	2.76	0.451
[R]C1CC1F	0.601	-0.057
[R]C(=O)N(C)CCOC	-0.545	0.331
[R]SCC(=O)Nc1ccccc1C	1.403	0.021
[R]CNS(N)(=O)=O	-0.805	0.109
[R]S(=O)(=O)Nc1ccc(C)cc1	1.631	0.589
[R]N2CC1CCCN1CC2C	0.642	-0.688
[R]NCc1cc(OC)ccc1OC	0.942	-0.701
[R]NC(=O)CC(F)(F)F	0.132	-0.177
[R]c1ccccc1OCC(O)=O	1.266	-0.128
[R]c2cccc(c1nn[nH]n1)c2	1.724	0.005
[R]CC(=O)c1c[nH]c2ccccc12	0.755	-0.156
[R]CC(=O)NCCCOC	-0.807	-0.118
[R]Nc1ncc(Cl)cc1Cl	1.914	-0.31
[R]N2CCN(C1COC1)CC2	-0.439	-0.631
[R]NC(=O)c1nsc2ccccc12	1.422	-0.253
[R]c1cccc(COC)c1	1.72	-0.035
[R]Nc1ccccc1C(C)C	2.685	-0.41
[R]NC(C)c1ccc(OC)cc1	1.607	-0.633
[R]c1ccc(C(O)=O)cc1F	1.815	0.149
[R]c1cncc(C(O)=O)c1	0.364	0.14
[R]Cc2ccc1[nH]ncc1c2	1.467	-0.11
[R]c2ncc(c1ccccc1)o2	1.821	0.309
[R]C=CC(O)CCCCC	2.361	-0.016
[R]C(=O)C(=O)C(C)(C)CC	3.265	0.633
[R]c1cc(C(F)(F)F)nn1C	1.597	0.288
[R]C(C(=O)N(C)C)c1ccccc1	1.332	-0.104
[R]C(O)CN	-0.962	0.013
[R]NCC1CCC(CN)CC1	0.477	-0.656
[R]SCc1ccco1	0.342	0.008
[R]C(=O)c1ccc(N(=O)=O)s1	1.638	0.625
[R]SC(C)(C)C(O)=O	0.612	0.022
[R]CCC(=O)NC	-0.298	-0.072
[R]c1cc[nH]c1	0.054	-0.223
[R]c1c(N)n[nH]c1C	-0.244	-0.186
[R]C(=O)Nc1c(C)cccc1CC	2.386	0.418
[R]OCC1CC1c2ccc(C)cn2	1.567	-0.278
[R]NC(=N)NCCCc1c[nH]cn1	-1.164	-0.525
[R]Cn1cnc2cccnc12	0.634	0.079
[R]Nc1ccc(Cl)c(F)c1	2.149	-0.239
[R]Cc1ccc(C(O)=O)o1	0.321	0.064
[R]NS(=O)(=O)CC1CC1	0.049	-0.134
[R]c2cc(c1ccc(Cl)cc1)on2	2.848	0.192
[R]Cc1ccc(Cl)c(C(F)(F)F)c1	3.775	0.005
[R]C(=O)Nc1ccc(C)cc1Cl	2.04	0.456
[R]S(=O)(=O)NCCc1ccccc1	1.368	0.576
[R]CCOc1cccc(C)c1	2.536	0.005
[R]Nc1ccc(CN(C)C)cc1	1.378	-0.398
[R]Oc1ccc(C(N)=O)cn1	-0.111	-0.091
[R]C(C)C(=O)NCC	0.211	-0.131
[R]Cc1c(C)cccc1F	2.98	-0.122
[R]CNC(=O)C(C)C	0.427	0.092
[R]c1nnc(C)[nH]1	0.037	0.303
[R]C#Cc1cccc(C)n1	1.538	0.127
[R]COc1ccccc1N(=O)=O	1.771	0.086
[R]CNc1ccc(C)cc1	2.111	0.076
[R]C2CN(C)c1ccccc1O2	1.974	0.102
[R]c1ccc(N(=O)=O)cc1OC	1.678	0.154
[R]CC1CC1c2ccc(C)cn2	2.25	-0.112
[R]C=Cc1ccc(OC)cc1OC	2.004	-0.134
[R]CCC(=O)NCc1ccccc1	1.478	-0.076
[R]CCCCCC(C)=O	2.056	-0.122
[R]C(=O)N2CC1CNCC1C2	-1.128	0.364
[R]c1ncnn1C(C)C	1.185	0.331
[R]NCc1ccc(C(=O)NO)cc1	0.767	-0.557
[R]Nc1ccc(S(N)(=O)=O)cc1Cl	0.862	-0.137
[R]NC(=O)c1ccc(OC)cn1	-0.164	-0.305
[R]C(=O)N1C2CCC1CC2	0.412	0.329
[R]c1cnccc1OC	0.413	-0.055
[R]C(=O)c1c(C)[nH]c2ccccc12	0.823	0.331
[R]CC1CNCCO1	-0.202	-0.117
[R]SCc1ccc(C(=O)OC)o1	0.301	0.064
[R]CSCCC(N)C(O)=O	-0.523	0.062
[R]C(=O)CCOc1ccccc1	2.224	0.54
[R]C(=Cc1ccc(O)c(O)c1)C#N	1.663	0.22
[R]c1ccc(OCC(F)(F)F)nc1	2.086	0.076
[R]C(=O)Cc1ccccc1Cl	2.902	0.475
[R]c1ccccc1COC	1.72	-0.003
[R]NC(=O)NC1CC1	-0.54	-0.342
[R]CN(C)CC#C	0.454	-0.069
[R]c1ccc(C)c(OC)c1	2.192	-0.011
[R]C(N)C1CCCCC1	1.38	-0.09
[R]C(=O)COc1ccc(C)c(C)c1	2.977	0.562
[R]c1cc(OC)ncn1	0.866	0.28
[R]C1CCC(C(N)=O)CC1	0.637	-0.164
[R]Cc1cc(C(C)C)no1	1.54	0.043
[R]N2C(C#N)CC1CC12	0.42	-0.452
[R]c1c(Br)cnn1C	1.107	0.272
[R]c2nc(c1ccc(Br)cc1)cs2	3.478	0.222
[R]c1c(F)ccc(F)c1Cl	2.774	0.173
[R]c2nc1ccccc1nc2C	1.724	0.238
[R]c1ccc(CCC(O)=O)c(F)c1	2.144	0.087
[R]Cc1cccc(NC(=O)C=C)c1	2.1	-0.112
[R]S(=O)(=O)NC1CC1	-0.265	0.583
[R]OCc1cccc2ccccc12	2.766	-0.223
[R]N(CCCl)CCCl	1.439	-0.41
[R]NC(=O)C=Cc1ccccc1Cl	2.052	-0.307
[R]C(=O)NC1CCCC(C)C1C	1.692	0.353
[R]c1c[nH]nc1C	0.011	-0.202
[R]C(C)c1cccc(Cl)c1	3.222	-0.046
[R]Cc1ccc(CN(C)C)o1	0.261	-0.049
[R]c2nc(c1ccc(F)cc1)no2	2.382	0.447
[R]NS(=O)(=O)NC	-0.706	-0.163
[R]C(=O)c1c(C)nc2ccccn12	0.508	0.45
[R]OC(=O)C1CCCCC1	1.614	-0.093
[R]NCCNC	-0.712	-0.622
[R]c1ccc(C#N)cc1OC	1.761	0.007
[R]C(O)C(=O)NO	-0.884	0.234
[R]c2cn(C1(C#N)CC1)nn2	0.294	0.136
[R]C(=O)c1ccc(OC)cn1	0.349	0.36
[R]N=Nc1c(O)[nH]c2ccccc12	1.973	0.068
[R]c2ccnc(n1ccnc1)n2	0.07	0.429
[R]c1ccc(Cl)cc1C(F)(F)F	3.378	0.174
[R]c2cccc(n1cnnn1)c2	1.166	0.146
[R]NC(=O)c1c[nH]c2ccccc12	0.31	-0.349
[R]CC2Cc1ccccc1CN2	1.899	-0.198
[R]NC(=O)c1ccc(C)s1	0.643	-0.288
[R]n2c(C)nc1ccccc1c2=O	1.046	0.203
[R]C(=O)c2cc1CCCCc1s2	2.144	0.401
[R]C(=O)N2C(C#N)CC1CC12	0.007	0.481
[R]Oc1cccc(O)c1	1.384	-0.065
[R]S(=O)(=O)Nc1ccccc1Cl	1.682	0.636
[R]NN=C(C)c1ccccn1	0.69	-0.465
[R]NC1CC2CCC1(C)C2(C)C	2.358	-0.656
[R]c1cc(C)n(C)c1C	0.302	-0.27
[R]c2sc1nnc(C)c(C)c1c2N	1.407	0.01
[R]CCNCC(O)c1ccccc1	1.474	-0.071
[R]c2csc(N1CCOCC1)n2	1.229	0.087
[R]Cc1ccc(NS(C)(=O)=O)cc1	1.617	-0.066
[R]CCCCC(F)(F)F	2.607	-0.058
[R]Cc2cn1ccccc1n2	0.903	-0.158
[R]C(C)(C)S(C)(=O)=O	0.024	0.244
[R]Sc1nnc2ccccn12	1.54	0.013
[R]c1cnn2ccc(C#N)cc12	0.947	-0.079
[R]CC2CN(C)c1ccccc1O2	2.226	-0.08
[R]N1CC(C)(O)C1	-0.44	-0.66
[R]OCc1ccc(C(=O)OC)cc1	1.494	-0.199
[R]Nc1ccc(N)cc1	0.708	-0.485
[R]CCC(=O)Nc1nccs1	0.315	-0.03
[R]C(O)CC(=O)OC	-0.417	0.083
[R]NC(=O)CN1CCCC1	-0.719	-0.283
[R]CC(=O)Nc1cccc(Cl)c1C	1.973	-0.044
[R]N1CCN(C)C(=O)C1	-0.976	-0.481
[R]C=Cc1cc(F)c(F)c(F)c1	2.928	0.16
[R]SC(C)CC	1.555	-0.061
[R]C(=O)C(CC)NC	1.05	0.437
[R]c2ccc1cccnc1n2	1.62	0.279
[R]C(=O)NC(CC(O)=O)C(=O)CF	-0.572	0.386
[R]C(C#N)c1cccnc1C	0.9	0.154
[R]c1ccc(Cl)c(N)c1	1.712	0.035
[R]SCc1c(C)noc1C	0.318	0.015
[R]CC(O)C(C)(C)C	1.799	-0.148
[R]C(=O)Nc2nnc(C1CC1)s2	0.918	0.537
[R]C(=O)c1cc(F)cc(F)c1	1.793	0.57
[R]c1cc(=O)n(C)c2ccccc12	1.485	0.255
[R]NCCc1cccnc1	0.387	-0.596
[R]C(=O)Nc1ccc(C(O)=O)cn1	0.14	0.497
[R]c1c(C)[nH]c(C(=O)OCC)c1C	0.824	-0.156
[R]c2nc1cc(N(=O)=O)ccc1[nH]2	1.314	0.499
[R]c1nc(C)oc1C	0.078	0.051
[R]c2n[nH]c(c1ccccn1)n2	1.152	0.133
[R]CCNC(=O)c1ccc(F)cc1	1.541	0.003
[R]Nc1ccncc1F	0.319	-0.204
[R]NNC(=O)c1ccncc1	-0.217	-0.392
[R]C(=O)NCC1CCNCC1	-0.588	0.363
[R]NN=Cc1ccc(F)cc1	2.109	-0.441
[R]Nc2ccc(c1cn[nH]c1)cc2	1.038	-0.392
[R]C(=O)c1cccc(N(=O)=O)c1C	1.935	0.619
[R]Oc1ccc(OC)c(OC)c1	1.163	-0.084
[R]c1ccc(OCCO)cc1	1.282	-0.087
[R]CC1CCN(C(N)=N)CC1	0.273	-0.104
[R]COc2ccc1OCOc1c2	1.501	0.062
[R]C(=O)NCCN1CCN(C)CC1	-0.846	0.372
[R]CCCCCC(=O)CC	2.685	-0.123
[R]C1CCOC(C)(C)C1	1.02	-0.099
[R]c1c(F)ccc(F)c1F	2.396	0.176
[R]CC1(F)CCOCC1	0.181	-0.035
[R]Sc1nc(C)cc(O)n1	1.144	-0.028
[R]CC(=O)Nc1cccnc1	-0.325	-0.036
[R]NC(CC(O)=O)C(=O)CF	-0.275	-0.539
[R]NC(=O)CS	-0.88	-0.242
[R]C(=O)Nc1ccc(Br)cn1	1.233	0.477
[R]c1nc(CC(O)=O)cs1	0.633	0.159
[R]c1cccc(OCCCC)c1	2.932	-0.014
[R]CNCCc1cccs1	0.999	-0.076
[R]C(=O)c1cccc(C(F)(F)F)n1	1.884	0.461
[R]C(CC(O)=O)C(=O)CF	0.245	0.064
[R]c1cnc(N(C)C)nc1OC	1.235	-0.191
[R]CCC(=O)Nc1ccccn1	0.77	-0.054
[R]C1(C#N)CCCCC1	2.174	0.06
[R]NNC(=O)c1ccco1	-0.421	-0.427
[R]NC(=S)NC(=O)c1ccco1	-0.054	-0.134
[R]COc1ccc(Cl)c(C)c1	2.802	0.065
[R]Nc2nnc(C1CC1)s2	1.354	-0.273
[R]C(CC)C1CC1	2.106	-0.136
[R]C(=O)NCCC(C)(C)C	1.344	0.355
[R]N1CCCCC1CO	0.381	-0.794
[R]CC(CCCC)C(O)=O	2.072	-0.069
[R]C(C)c2ccc1OCCc1c2	2.433	-0.107
[R]C(O)CC(=O)NCCCC	0.141	0.032
[R]N2CCN(C(=O)C1CC1)CC2	-0.177	-0.601
[R]c1nnc(S)o1	0.797	0.513
[R]c2cc1cc[nH]c1cc2F	1.425	-0.095
[R]NC(C1CC1)C2CC2	1.161	-0.639
[R]c2nnc(c1ccccc1)s2	2.701	0.369
[R]C(=O)CSc1ccccn1	1.772	0.532
[R]C1(C)CCCC1	2.209	-0.153
[R]Nc1cccc(C(C)C)c1	2.685	-0.402
[R]C(=O)NC(CC(N)=O)C(O)=O	-2.032	0.337
[R]OCC(C)CCC	1.994	-0.277
[R]Cc2cccc(n1nccn1)c2	1.775	-0.065
[R]NC(C)c1ccccn1	0.823	-0.658
[R]C(NC(=O)C(C)N)C(C)C	0.156	0.078
[R]C(=O)c1ccccc1SC	1.605	0.399
[R]c1cc(F)cc(F)c1F	2.396	0.195
[R]Sc2nc(O)c1ccccc1n2	2.375	-0.035
[R]N1CC2CC1CN2	-0.513	-0.653
[R]C(C)C(O)c1ccccc1	2.259	-0.125
[R]C1OCCO1	0.031	0.048
[R]C(=O)NN1CCOCC1	-0.654	0.409
[R]COc1ccc(C#N)cc1	1.853	0.108
[R]c2nnc(c1ccncc1)s2	1.389	0.435
[R]c1c(C)n(C)nc1CC(C)C	1.613	-0.198
[R]C1(OC)CCOCC1	-0.396	-0.014
[R]C(F)c1ccc(C(F)(F)F)cc1	3.091	0.162
[R]OCc2nc1ccccc1s2	2.19	-0.177
[R]Oc1cccn2c(Br)c(C)nc12	1.332	0.041
[R]CCCC(N)C(O)=O	0.191	-0.038
[R]S(=O)(=O)NC(=O)OCCC(C)C	0.921	0.597
[R]Nc2ccc1oc(C)cc1c2	0.978	-0.394
[R]Oc1cccc(F)c1F	1.948	0.045
[R]OC(C)C1=NCCN1	-0.312	-0.196
[R]NC(C)C(=O)OC	-0.219	-0.52
[R]c1csc2CCCCc12	2.208	-0.06
[R]N(C)C1CC1	0.428	-0.633
[R]NC(=O)CCC1CCCCC1	1.525	-0.302
[R]C1=NCCO1	0.263	0.312
[R]NC(CC(N)=O)C(O)=O	-1.735	-0.614
[R]C(C)c1ccccc1C(F)(F)F	3.587	-0.009
[R]NC1CC2CCCC(C1)N2C	0.51	-0.629
[R]c2ccc1cccc(O)c1n2	2.182	0.193
[R]C=Cc1cccc(C(O)=O)c1	2.208	0.034
[R]N1CCC(C(O)=O)C1	-0.168	-0.579
[R]NN=Cc1ccc(N(=O)=O)o1	0.814	-0.128
[R]CC1(C(O)=O)CCCC1	1.836	-0.158
[R]N(CCO)Cc1ccccc1	1.365	-0.694
[R]c2ccc(c1ccoc1)cc2	1.916	-0.028
[R]c1ccc(C)nc1C	1.007	0
[R]NCc1cccc(C(C)(C)C)c1	3.074	-0.636
[R]CCCc1ccc(OC)cc1	2.914	-0.118
[R]NN=Cc1ccc(Cl)cc1	2.487	-0.433
[R]c1cc(OC)cc2cccnc12	1.814	-0.014
[R]c1ccc(C#C)cc1	2.159	0.016
[R]C1CCOc2ccccc12	1.966	-0.063
[R]c1cccn2c(Br)c(C)nc12	1.641	0.027
[R]SCc1ccc(C#N)cc1	2.143	0.038
[R]C1CC(O)C(COP(O)(O)=O)O1	-0.008	0.038
[R]NC(=O)C(CC)NC	-0.4	-0.324
[R]NCCCCc1cccnc1	1.179	-0.617
[R]c1ccccc1N(C)C	2.242	-0.148
[R]C(=O)Cc1cccc(Cl)c1	2.902	0.513
[R]C1NC(CO)C(O)C1O	-1.406	-0.158
[R]Nc1ccc(Cl)nc1	1.068	-0.235
[R]Cc1cccc(CN)c1	1.491	-0.107
[R]C(=O)CC(C)c1ccccc1	3.111	0.473
[R]C1CCN(C(=O)CC)C1	0.281	-0.003
[R]OCc1ccsc1	0.836	-0.25
[R]NC(=O)c1ccc(Cl)nc1	0.578	-0.199
[R]NCc1cc(C(C)C)no1	0.828	-0.517
[R]c1cc(O)ccc1C	2.16	0.011
[R]C(=O)C1CC1C(O)=O	0.555	0.374
[R]c1cc(Br)c(O)c(OC)c1	2.232	0.116
[R]c2c(O)c1ccccc1oc2=O	1.132	0.143
[R]C=NNC(=O)c1cccnc1	-0.029	0.144
[R]NC(=O)C1CC=CCC1C(O)=O	0.034	-0.351
[R]C(C)CCCC(C)(C)O	2.02	-0.128
[R]c1cccc2ccc(OC)cc12	2.727	-0.038
[R]NCc1cc(OC)cc(OC)c1	0.942	-0.628
[R]S(=O)(=O)c2ccc1OCOc1c2	0.751	0.614
[R]OC1CC(C)CCC1C(C)C	3.032	-0.302
[R]NS(=O)(=O)c1cc(Cl)ccc1Cl	2.057	-0.123
[R]C(=O)Nc1ccc(I)cc1	2.312	0.499
[R]c2cccc(n1ccnc1)c2	0.972	0.113
[R]C(C)OC(C)=O	0.3	0.056
[R]C(=O)NC1CCCCNC1=O	-0.786	0.342
[R]c2nn1c(=O)cc(C)nc1s2	0.983	0.459
[R]NC1CCCC1O	0.09	-0.677
[R]c1ccc(Cl)o1	1.059	0.193
[R]NCCc1ccc(Cl)c(Cl)c1	2.735	-0.577
[R]c2nc(c1cccs1)cs2	2.158	0.197
[R]Nc2ccc1CCN(C)Cc1c2	1.36	-0.408
[R]C1=C(C(O)=O)CCC1	0.723	0.09
[R]C(=O)CCCCCCCC	3.545	0.458
[R]Cc1cccc(C(F)(F)F)c1C	3.724	-0.046
[R]c1ccc(C(=O)OC(C)C)cc1	2.463	0.106
[R]C(=O)C(F)F	0.825	0.644
[R]C1CCC(NS(C)(=O)=O)CC1	0.844	-0.079
[R]Oc2cc1cc[nH]c1cc2F	1.117	-0.099
[R]NCCc1cccc(F)c1	1.838	-0.599
[R]CN1C(=O)NC(C)(C)C1=O	-0.34	0.078
[R]CCS(=O)(=O)c1ccc(C)cc1	1.933	0.021
[R]SCC1(CC(O)=O)CC1	0.709	-0.054
[R]NC(CC(C)C)C(=O)NO	0.566	-0.573
[R]NC(C)C(F)(F)F	1.058	-0.429
[R]c1cc(OC)c(Br)cc1OC	2.264	-0.049
[R]C(=O)CSc1nncn1C	0.807	0.567
[R]c1ncc(N(=O)=O)s1	1.255	0.589
[R]CCCOc1ccc(F)cc1	2.604	-0.036
[R]C(=O)Cc1ccccc1F	2.523	0.481
[R]Sc1nc(C)cc(C)c1C#N	2.072	0.002
[R]C(C)c1ccc(C)cc1	3.171	-0.112
[R]CN1CCCCC1=O	0.022	-0.104
[R]SCc1ccc(CN(C)C)o1	0.209	-0.008
[R]c2nc1scc(C)c1c(=O)o2	1.267	0.595
[R]C(=O)N(C)C(C)C	0.375	0.352
[R]CNS(=O)(=O)c1ccc(Cl)cc1	1.687	0.113
[R]Sc1ccc(Cl)c(Cl)c1	3.048	0.03
[R]CC(N)C(C)CC	1.343	-0.234
[R]C(=O)OCC(=O)c1ccccc1	1.088	0.515
[R]CCCN(C)Cc1ccccc1	2.605	-0.11
[R]Oc1cccc(N(C)C)c1	1.933	-0.15
[R]SCC1CCCCC1	2.229	-0.054
[R]C(=O)c1ccnn1C	-0.147	0.461
[R]OCC(=O)NC1CCCCC1	0.496	-0.179
[R]c2cc(c1ccc(Cl)cc1)n[nH]2	2.671	0.155
[R]Nc1cccc(CS(C)(=O)=O)c1	0.731	-0.349
[R]c2nc(c1cccnc1)cs2	1.375	0.222
[R]NCc1cc(O)ccc1O	0.878	-0.604
[R]c1ccccc1c2cccs2	3.133	-0.033
[R]Cc1ccc(F)cc1C(F)(F)F	3.396	-0.057
[R]N2CC1CN(C)CC1C2	-0.354	-0.625
[R]C(=O)C=Cc1cccc(OC)c1	1.794	0.374
[R]Cn1nc(C)c(N(=O)=O)c1C	0.303	0.252
[R]OCc1cccc(Br)c1	2.555	-0.21
[R]C(N)C(=O)N2C(C#N)CC1CC12	-0.837	0.171
[R]CCc1cc(C)cc(N)n1	1.776	-0.145
[R]COc1ccc(Cl)cn1	1.722	0.046
[R]Nc1cccc(S(=O)(=O)NC)c1	0.591	-0.283
[R]N1CCc2ccc(F)cc12	1.859	-0.349
[R]C(S)=Nc1ccccc1C	2.799	0.29
[R]c1ccc(C)c(O)c1	2.16	-0.011
[R]c1ncc(C)cn1	0.686	0.185
[R]C(=O)C=CC	1.767	0.358
[R]c2cccc(CN1CCCC1)c2	2.19	-0.046
[R]C1CN(C)CCO1	-0.092	-0.006
[R]C(=O)CCC(C)C	2.29	0.454
[R]Cc1csc(N)n1	0.457	-0.164
[R]Nc1ncc(C(F)(F)F)cc1Cl	2.279	-0.234
[R]c1cc(C)ncn1	0.591	0.272
[R]C1CCC2(CC1)OCCO2	1.496	-0.133
[R]Cc1ccc(Cl)s1	2.27	-0.022
[R]c1c(C)nc(O)nc1O	0.825	0.197
[R]OCc1cc(C)cc(C)c1	2.698	-0.264
[R]C1=CC=CC1	1.078	-0.058
[R]S(=O)(=O)NC(=O)c1ccccc1	0.67	0.568
[R]C(=O)NCCC(N)=O	-1.769	0.385
[R]c1ccc(C(=O)NO)s1	1.167	0.165
[R]CC(=O)NCCC(C)C	0.844	-0.133
[R]CCSc1ccc(Cl)cc1	2.93	0.021
[R]CCOCCF	0.448	-0.03
[R]NS(=O)(=O)c1cccc(OC)c1	0.768	-0.163
[R]C1CCCN(C(C)=O)C1	0.049	-0.023
[R]C(=O)c1ccc(SC)cc1	1.605	0.41
[R]N2C(=O)NC1(CCCC1)C2=O	-0.055	0.029
[R]Cc1ccc(OCCC)cc1	2.932	-0.125
[R]Nc2cc(O)c1ccccc1n2	1.995	-0.247
[R]c1ccc(CC(=O)OC)cc1	1.64	-0.017
[R]CCc1ccccc1C	3.237	-0.106
[R]C1CCNCC1F	0.218	-0.095
[R]C(O)CC(N)=O	-1.313	0.045
[R]ONC(N)=N	-0.74	-0.085
[R]NS(=O)(=O)CCCC	0.547	-0.137
[R]C(S)C(C)C	1.629	0.021
[R]Oc1ccc(N)cc1	0.886	-0.171
[R]CC1CCC(=O)N1	-0.298	0.049
[R]C(CCCCCC)C(O)=O	2.468	-0.022
[R]Cc1c[nH]c2c(=O)[nH]cnc12	-0.725	-0.191
[R]CCCN1CCCCC1C	1.963	-0.118
[R]Sc1ccccc1C(C)C	3.206	0.016
[R]Nn1c(=O)cc(C)c1=O	0.03	-0.383
[R]NC(=O)C(S)C(C)C	0.529	-0.232
[R]c1nnn(CC(O)=O)n1	-0.173	0.25
[R]C(=O)C(S)C(C)C	1.979	0.548
[R]C(Cc1cnc[nH]1)C(O)=O	-0.894	0.03
[R]c2nnc(c1ccccc1)n2C	2.196	0.298
[R]C(S)=Nc1ccccc1OC	2.079	0.239
[R]c2cn1ccc(C)cc1n2	1.438	0.038
[R]CC(=O)Nc1ccc(F)c(Cl)c1	1.645	-0.025
[R]CCNCCO	-0.373	-0.084
[R]SCCCC(O)=O	0.305	0.002
[R]C1CCC(C)(O)CC1	1.192	-0.15
[R]N1CCNC(C)(C)C1	-0.037	-0.675
[R]C(O)CNC1CC1	-0.158	0.038
[R]OC(=O)NCCC	0.525	-0.136
[R]NS(=O)(=O)c1c(F)cccc1F	1.3	-0.152
[R]C(=O)C(=O)NCC	0.19	0.616
[R]C(=O)c1ccc(C(C)C)cc1	2.708	0.443
[R]C1CC(O)C1	0.321	-0.101
[R]CCCCC(=O)OC	1.145	-0.095
[R]CN(C)C(=O)c1ccccc1	1.396	0.003
[R]OCCN1CCCCCC1	1.084	-0.24
[R]C(CS(=O)(=O)C(C)(C)C)C1CC1	1.244	0.003
[R]c1cc(Cl)ccc1C(O)=O	2.194	0.027
[R]C(=O)C2(c1ccc(Cl)cc1)CC2	3.626	0.492
[R]COc1ccccc1C#N	1.853	0.086
[R]NS(=O)(=O)c1cnn(C)c1	-0.87	-0.199
[R]N1CCC(C)(N)CC1	-0.684	-0.734
[R]NN=Cc1sccc1C	1.908	-0.479
[R]S(=O)(=O)NCCN1CCCC1	-0.356	0.581
[R]N1CCCC1C(=O)N2CCCC2	0.048	-0.699
[R]CC1CCCCCCC1	3.361	-0.141
[R]NC(C)CCCN(CC)CC	1.251	-0.648
[R]C(=O)Cc1cccnc1	1.072	0.519
[R]c1ccc(OCC=C)cc1	2.465	-0.076
[R]NCc1c(F)cccc1F	1.726	-0.611
[R]c1ccc(S(C)(=O)=O)cc1Cl	1.64	0.203
[R]C(=O)c1ccnc2ccccc12	1.604	0.559
[R]Nc2ccc1OCC(=O)Nc1c2	-0.203	-0.304
[R]NCC(=O)N1CCN(C)CC1	-1.358	-0.569
[R]Cc1ccc(CC(O)=O)cc1	2.005	-0.117
[R]OCCOCC#C	0.096	-0.259
[R]C(=O)Nc1ncccc1C	0.909	0.42
[R]C(CC(O)=O)c1ccc(C)cc1	2.335	-0.009
[R]C(=O)C1=C(C(O)=O)CCC1	1.197	0.557
[R]C=Cc1cc(OC)cc(OC)c1	2.004	0.008
[R]Oc1ccc(F)cc1C	2.275	-0.047
[R]C(=O)COC(C)=O	0.112	0.565
[R]Cc1ccc(C(N)=O)cc1	1.207	-0.038
[R]C(Cc1cnc[nH]1)NC(C)=O	-1.513	-0.077
[R]C(=O)NC(C)(C)c1ccccc1	1.641	0.372
[R]Sc1ccc(N)cc1	1.229	-0.142
[R]SCc1ccc(Cl)c(Cl)c1	3.143	0.037
[R]C(=O)N1CCC(N)C1	-1.226	0.348
[R]N1CCC(C)C1	0.76	-0.672
[R]c2cn1cccc(C)c1n2	1.438	0.034
[R]C=Cc1ccc(Cl)s1	2.87	0.067
[R]CC1CCN(CCCC)CC1	2.277	-0.129
[R]C(=O)C(O)c1ccccc1	1.955	0.518
[R]c1ccc(OC(C)C)nc1	1.867	-0.014
[R]c1cc(F)cc(Br)c1	2.909	0.154
[R]c1ccc(CC#N)cc1	1.946	0.048
[R]C(=O)NCC1CCC(N)CC1	-0.134	0.337
[R]c1ncccc1C(N)=O	-0.102	0.035
[R]C1COC(C)(C)O1	0.766	0.06
[R]c2ccc(C1CCNCC1)cc2	1.996	-0.05
[R]C1CCC(NC(C)=O)CC1	0.593	-0.069
[R]c1n[nH]c(=O)o1	-0.298	0.508
[R]Oc1ccc(Cl)cc1OC	1.934	-0.06
[R]c2noc(c1ccccc1)n2	2.242	0.228
[R]NC(C(N)=O)c1ccccc1	0.319	-0.606
[R]c2nc(N1CCCC1)nn2C	1.523	0.334
[R]C1(C(=O)NCC#N)CCCCC1	1.097	0.056
[R]N(C)C1CCOCC1	-0.136	-0.625
[R]CN(C)S(C)(=O)=O	-0.151	0.106
[R]C2(C1=CC=CC1)CCCCCC2	3.319	-0.115
[R]C(=O)Oc1ccc(N(=O)=O)cc1	1.658	0.697
[R]c1ccccc1OC(C)=O	1.476	0.011
[R]c2ncc(c1ccccc1)[nH]2	1.643	0.214
[R]C(=O)Cc1ccsc1	1.456	0.475
[R]C(=O)C(NC(=O)C(C)N)C(C)C	0.505	0.534
[R]c1cc(C(C)C)ccc1OC	2.919	-0.16
[R]N1CCN(CC=C)CC1	0.574	-0.672
[R]CNC(N)=O	-1.034	0.098
[R]C(=O)CSc1ccc(C)cc1	2.853	0.568
[R]C(CC(O)=O)OCC	0.172	-0.072
[R]CCc1ccc(OCC)cc1	2.86	-0.112
[R]NCCC#N	-0.269	-0.514
[R]CCSc1ccc(C)cc1	2.879	-0.009
[R]OC(=O)c1ccc(F)cc1	1.791	-0.049
[R]c1nc(N)n[nH]1	-0.097	0.353
[R]c1cn(C(C)=O)c2ccccc12	0.811	-0.066
